n;sel_swap;sel_comp;sel_time;ins_swap;ins_comp;ins_time;heap_swap;heap_comp;heap_time;quick_swap;quick_comp;quick_time
100;99;4950;1;2280;2377;0;595;1037;1;283;630;0
200;199;19900;1;10204;10402;0;1351;2436;0;919;1711;0
300;299;44850;1;21450;21744;1;2207;3998;0;1553;2409;0
400;399;79800;2;38921;39313;3;3142;5722;0;2366;4042;0
500;499;124750;2;63799;64292;2;4040;7406;1;2535;4654;0
600;599;179700;4;87154;87747;2;5041;9257;0;4013;6519;0
700;699;244650;1;120535;121231;1;6032;11134;0;4779;7335;0
800;799;319600;1;156404;157195;1;7067;13063;0;5032;8231;0
900;899;404550;1;200345;201236;1;8034;14911;1;5730;10040;0
1000;999;499500;1;259572;260565;1;9065;16838;0;5778;10854;1
1100;1099;604450;1;300422;301511;1;10131;18854;1;5918;11544;0
1200;1199;719400;2;358003;359201;1;11206;20875;1;7388;14167;0
1300;1299;844350;2;430087;431381;1;12320;22949;0;7017;14125;0
1400;1399;979300;2;483196;484587;2;13411;25001;0;8385;15382;0
1500;1499;1124250;3;569859;571347;1;14546;27136;0;8701;17489;0
1600;1599;1279200;3;640454;642048;2;15653;29205;0;9633;18549;0
1700;1699;1444150;3;723783;725476;1;16722;31245;1;9857;19287;0
1800;1799;1619100;4;805711;807504;2;17870;33410;1;10941;21251;0
1900;1899;1804050;4;922481;924371;2;18992;35559;1;13245;25161;0
2000;1999;1999000;4;1013215;1015206;2;20202;37778;1;16790;27408;0
2100;2099;2203950;4;1134472;1136565;3;21263;39829;1;14362;25369;0
2200;2199;2418900;6;1225097;1227292;3;22460;42074;1;16703;28610;0
2300;2299;2643850;6;1307262;1309553;4;23679;44332;1;15160;27784;0
2400;2399;2878800;7;1420578;1422969;4;24903;46633;1;16682;31186;0
2500;2499;3123750;7;1565471;1567960;5;26076;48828;1;15005;29629;0
2600;2599;3378700;8;1685109;1687695;5;27290;51165;1;17577;31127;0
2700;2699;3643650;8;1797762;1800451;5;28453;53388;1;22260;37404;1
2800;2799;3918600;8;1967458;1970247;3;29671;55647;1;19860;37583;0
2900;2899;4203550;9;2064362;2067258;4;30931;57955;0;19858;36298;0
3000;2999;4498500;10;2232692;2235686;3;32099;60253;4;21176;38994;0
3100;3099;4803450;10;2412094;2415186;4;33187;62480;0;21245;40217;0
3200;3199;5118400;10;2549032;2552224;5;34559;64887;0;22724;42596;1
3300;3299;5443350;12;2752901;2756194;5;35702;67171;0;25295;44710;1
3400;3399;5778300;13;2914299;2917692;5;36934;69492;1;21946;44575;0
3500;3499;6123250;13;3077330;3080819;8;38239;71821;0;32941;50603;0
3600;3599;6478200;14;3264553;3268141;6;39416;74096;0;25677;45549;0
3700;3699;6843150;15;3485648;3489336;6;40591;76366;1;24789;46108;0
3800;3799;7218100;15;3609372;3613163;7;41911;78807;0;29499;52122;1
3900;3899;7603050;16;3789330;3793225;7;43067;81017;0;27393;52944;1
4000;3999;7998000;18;4038014;4042009;12;44371;83460;1;31524;55025;0
4100;4099;8402950;19;4235560;4239655;10;45519;85686;1;30970;55588;0
4200;4199;8817900;20;4372577;4376767;12;46844;88131;1;28033;55744;0
4300;4299;9242850;22;4587170;4591459;12;48135;90742;1;33831;60684;1
4400;4399;9677800;21;4861662;4866056;13;49295;92938;1;32288;59551;0
4500;4499;10122750;24;5110349;5114844;12;50624;95402;1;35209;72481;0
4600;4599;10577700;24;5299291;5303884;8;51864;97820;0;35612;63389;1
4700;4699;11042650;24;5596988;5601682;13;53291;100435;1;36784;70941;0
4800;4799;11517600;25;5759921;5764711;11;54536;102790;1;35816;66947;0
4900;4899;12002550;26;5948138;5953026;15;55809;105278;0;39631;71077;1
5000;4999;12497500;28;6277467;6282461;10;57062;107662;1;36712;67852;1
5100;5099;13002450;28;6536420;6541510;11;58425;110139;1;46013;78950;0
5200;5199;13517400;29;6849946;6855135;12;59777;112695;0;43510;81663;0
5300;5299;14042350;29;7087330;7092616;11;61027;115093;1;42952;77578;0
5400;5399;14577300;31;7171323;7176718;12;62322;117505;1;42015;75591;0
5500;5499;15122250;32;7641177;7646662;13;63578;119973;1;46490;80065;0
5600;5599;15677200;34;7696019;7701612;12;64990;122645;1;42898;80063;1
5700;5699;16242150;34;8101963;8107651;14;66218;124942;1;42088;81075;0
5800;5799;16817100;36;8490271;8496065;14;67498;127391;1;40927;79160;0
5900;5899;17402050;38;8659241;8665132;15;68878;129970;1;47905;90400;0
6000;5999;17997000;38;9071733;9077725;15;70090;132390;1;52137;91166;0
