n;sel_swap;sel_comp;sel_time;ins_swap;ins_comp;ins_time;heap_swap;heap_comp;heap_time;quick_swap;quick_comp;quick_timemq_swap;mq_comp;mq_time
100;99;4950;527400;2435;2432;197400;583;1040;187500;467;663;100000;500;646;104100
100;99;4950;139500;2376;2373;107600;592;1042;31200;369;642;32400;535;678;40200
100;99;4950;141200;2656;2652;121900;574;1016;27100;352;678;110700;460;623;39300
100;99;4950;143800;2714;2711;136400;580;1022;18200;370;687;41800;461;649;32200
100;99;4950;137200;2721;2717;124200;585;1030;23400;417;661;9900;546;682;33000
100;99;4950;139500;2501;2498;115200;567;1012;18700;391;609;9500;495;602;30000
100;99;4950;139600;2580;2575;182600;586;1032;33800;327;666;15900;452;661;59400
100;99;4950;136300;2484;2480;112700;582;1026;18600;479;648;10800;467;632;28400
100;99;4950;137800;3032;3028;138100;580;1030;19100;387;631;9300;533;709;37700
100;99;4950;155400;2546;2538;115900;572;1027;19300;401;688;9900;529;644;29500
100;99;4950;139200;2728;2726;186900;580;1021;40200;350;598;16600;481;634;49400
100;99;4950;382300;2623;2618;45400;585;1033;37800;411;668;17000;489;632;37000
100;99;4950;158500;2509;2504;36400;587;1033;41800;452;604;15400;549;659;41400
100;99;4950;64900;2437;2434;29500;587;1036;43600;537;716;17700;501;659;40800
100;99;4950;62400;2470;2465;34800;580;1026;44500;453;718;16500;564;693;41800
100;99;4950;53900;2295;2293;20000;581;1030;20100;500;767;11800;500;771;30900
100;99;4950;40400;2523;2519;22300;585;1019;29200;323;564;8900;450;621;10900
100;99;4950;38200;2601;2598;50600;579;1024;41500;497;782;17100;470;597;16500
100;99;4950;40600;2235;2231;19100;603;1042;19200;455;696;11800;496;667;11100
100;99;4950;71100;2262;2260;38100;588;1035;31500;401;630;17700;442;657;35700
100;99;4950;63900;2205;2199;24300;595;1043;44100;489;761;16000;442;626;15600
100;99;4950;69000;2474;2473;35600;588;1036;35900;482;726;16300;402;708;20100
100;99;4950;38300;2530;2524;22600;586;1031;18600;341;582;10200;487;624;10300
100;99;4950;63500;2778;2770;40500;578;1017;33900;486;820;21700;497;643;17900
100;99;4950;38700;2447;2444;38800;577;1024;64700;487;858;37600;427;604;20200
100;99;4950;84500;2845;2842;41600;577;1019;32800;492;704;17200;567;679;16800
100;99;4950;80800;2266;2263;35600;594;1025;34200;494;725;25200;544;697;21400
100;99;4950;70400;2309;2305;38600;585;1032;34100;531;671;17400;630;711;18800
100;99;4950;67300;2775;2773;38500;571;1028;26200;365;600;15000;518;681;17200
100;99;4950;75700;2611;2605;42900;577;1029;31400;423;589;14100;567;648;26000
100;99;4950;70900;2905;2899;50500;571;1015;30700;371;624;17400;447;616;18400
100;99;4950;72200;2445;2442;40100;591;1042;28100;359;641;16000;489;714;20500
100;99;4950;71600;2317;2315;40200;585;1026;20300;392;566;15800;479;620;16300
100;99;4950;71800;2475;2473;51600;581;1030;21000;367;567;16900;451;616;15400
100;99;4950;73200;2377;2373;43000;573;1017;22300;306;596;15300;397;617;20100
100;99;4950;68300;2599;2593;42800;571;1009;19600;439;658;17100;451;608;15900
100;99;4950;70100;2893;2886;46900;571;1023;20100;358;650;15600;578;697;18000
100;99;4950;73600;2652;2645;43600;578;1018;19200;429;656;16000;595;719;17200
100;99;4950;67900;2627;2623;44800;593;1036;21800;357;633;24900;451;622;21300
100;99;4950;70700;2570;2566;24400;594;1034;12700;457;664;6200;551;675;7400
100;99;4950;38300;2514;2513;21000;582;1027;13700;443;702;5400;491;636;6900
100;99;4950;38800;2484;2479;20700;584;1030;12400;401;610;5700;545;657;6500
100;99;4950;39600;2279;2276;19900;593;1042;12500;433;632;5000;490;632;6500
100;99;4950;37400;2703;2698;22400;587;1034;12300;453;657;5000;474;621;6200
100;99;4950;38700;2633;2631;21900;583;1036;12200;442;616;5000;520;634;9500
100;99;4950;37300;2458;2456;21600;578;1020;12000;379;587;4800;456;597;6000
100;99;4950;38600;2758;2752;22900;576;1036;12100;440;592;4900;567;670;6600
100;99;4950;38400;2462;2460;20500;592;1032;13400;379;636;5000;511;659;7200
100;99;4950;37300;2623;2622;21700;583;1036;12300;417;859;7000;544;733;8600
100;99;4950;39300;2555;2550;21300;579;1025;12200;340;617;5700;551;666;6600
100;99;4950;38500;2479;2476;22000;595;1043;11800;352;558;4600;468;616;6000
100;99;4950;63000;2475;2469;37700;581;1032;30700;435;632;8100;542;634;13500
100;99;4950;60600;2753;2750;37400;575;1022;20000;364;626;8300;497;667;11300
100;99;4950;44800;2582;2580;23300;578;1024;12800;418;675;5900;507;642;7500
100;99;4950;49500;2686;2681;22800;574;1023;14200;408;672;5300;516;650;6600
100;99;4950;106000;2564;2558;21400;578;1033;12200;375;654;5100;515;619;6300
100;99;4950;37300;2547;2543;94600;587;1032;12600;457;656;6000;472;596;6200
100;99;4950;94000;2816;2813;23500;578;1025;12500;482;626;4900;532;646;6700
100;99;4950;37200;2327;2325;19500;597;1046;13000;372;605;5100;494;620;6600
100;99;4950;81700;2497;2491;72200;577;1021;11900;386;793;4900;519;708;7500
100;99;4950;63500;2680;2676;29500;582;1019;13200;324;579;5400;479;602;8700
100;99;4950;79600;2283;2280;19400;587;1031;14400;443;675;5300;500;656;6600
100;99;4950;45300;2477;2474;86000;587;1027;12800;443;691;5400;489;645;10600
100;99;4950;119100;2710;2706;43300;574;1016;20100;441;651;8300;568;700;14200
100;99;4950;37300;2658;2654;22200;586;1034;13000;343;573;9400;427;576;6400
100;99;4950;107200;2719;2715;76600;577;1025;12900;427;654;5500;462;684;6900
100;99;4950;38000;2840;2835;23600;588;1029;12300;346;693;4800;537;699;6800
100;99;4950;71000;2526;2522;21200;580;1033;12300;371;593;4800;465;622;7400
100;99;4950;38200;2469;2466;111800;583;1026;21700;354;598;7600;461;605;10400
100;99;4950;73400;2556;2553;21400;588;1042;13200;379;578;5200;506;709;8600
100;99;4950;37500;2834;2827;23600;580;1020;12400;328;663;5100;559;655;6500
100;99;4950;72600;2455;2453;69700;593;1049;12500;583;755;4900;475;684;7300
100;99;4950;37300;2820;2812;23300;566;1007;12000;451;632;6600;557;657;6600
100;99;4950;72400;2478;2474;20800;588;1034;12200;397;598;5200;560;651;6200
100;99;4950;37700;2483;2482;74500;591;1039;11900;336;654;4700;441;639;7600
100;99;4950;66200;2601;2595;25900;595;1043;13900;359;587;4800;446;650;6300
100;99;4950;64600;2548;2546;34500;590;1030;20000;391;648;8300;465;599;11700
100;99;4950;98000;2786;2783;75800;578;1023;13700;369;550;5500;512;671;7700
100;99;4950;37600;2376;2373;20000;598;1043;12800;451;721;5400;394;587;6500
100;99;4950;90000;2322;2320;37100;598;1044;23900;473;635;10000;536;737;11500
100;99;4950;65900;2662;2654;142400;578;1023;19300;451;716;10600;529;677;11800
100;99;4950;125100;2717;2709;36100;575;1013;30000;470;742;8400;541;646;11500
100;99;4950;65800;2613;2604;42800;591;1033;18200;335;567;6600;556;650;10500
100;99;4950;119700;2833;2829;124900;575;1023;19100;340;624;7200;448;620;10000
100;99;4950;66200;2605;2599;35000;589;1037;17500;379;707;7000;498;631;12300
100;99;4950;123700;2232;2230;35400;580;1029;19500;360;644;7100;480;614;9900
100;99;4950;61400;2811;2810;144700;569;1023;19700;396;606;8200;475;615;10400
100;99;4950;112100;2636;2631;6400;584;1026;18800;387;631;9700;477;623;21800
100;99;4950;56700;2618;2612;6000;580;1020;21100;347;579;6700;513;626;6700
100;99;4950;125400;2469;2464;5800;589;1028;22300;457;674;7700;510;654;7400
100;99;4950;58300;2571;2566;6300;589;1035;19300;421;745;8100;442;629;7800
100;99;4950;118700;2725;2720;6700;577;1015;19100;398;591;7100;482;608;9100
100;99;4950;66800;2530;2526;6300;578;1009;20000;357;610;7600;422;601;6700
100;99;4950;12600;2605;2604;6600;587;1026;19900;460;592;7600;432;615;7500
100;99;4950;12100;2229;2225;5900;587;1033;18700;319;618;8600;464;662;7300
100;99;4950;11900;2589;2585;6300;589;1037;22600;455;675;7500;495;632;8800
100;99;4950;12100;2599;2597;6000;585;1022;23700;407;650;7400;481;600;6400
100;99;4950;12000;2522;2517;5900;584;1033;18000;310;602;6800;443;630;7100
100;99;4950;12000;2345;2339;5700;589;1034;18300;370;626;7300;496;637;6400
100;99;4950;12000;2630;2626;7600;576;1020;18800;450;713;7400;503;630;9400
200;199;19900;45200;9544;9539;22400;1370;2457;38900;912;1463;14700;1146;1502;15800
200;199;19900;44800;9751;9749;18300;1361;2452;43300;984;1522;17800;1016;1399;17200
200;199;19900;46300;8939;8935;17100;1373;2452;45400;857;1462;15100;1030;1423;18900
200;199;19900;45400;9559;9555;21400;1383;2466;28100;1007;1797;15000;1130;1532;14500
200;199;19900;48400;10109;10103;18500;1375;2460;25000;844;1422;14700;996;1448;13700
200;199;19900;47800;9850;9847;19400;1366;2447;28100;1029;1500;18100;1216;1480;15200
200;199;19900;46300;10114;10108;19800;1362;2461;29400;845;1411;17100;1094;1482;14400
200;199;19900;45300;10101;10096;25200;1363;2457;27400;876;1597;18700;1162;1543;18900
200;199;19900;45100;9539;9534;17600;1363;2459;28900;769;1299;16800;1051;1399;15700
200;199;19900;45800;10908;10905;22500;1344;2425;27500;950;1519;15700;1137;1575;16700
200;199;19900;47200;10866;10857;20800;1362;2462;27700;812;1828;15500;992;1667;15500
200;199;19900;45600;10339;10336;21700;1353;2451;28300;911;1499;16000;1035;1478;15400
200;199;19900;46200;10301;10298;22800;1361;2452;27400;856;1378;17000;1121;1483;15700
200;199;19900;45900;9744;9740;46600;1374;2457;27400;795;1447;15000;1148;1554;13100
200;199;19900;44800;10019;10018;20700;1367;2462;28800;883;1557;15500;1107;1559;14600
200;199;19900;63100;9480;9477;21900;1362;2447;29900;1066;1610;17200;1086;1489;18400
200;199;19900;47400;9740;9735;20900;1370;2481;27900;1012;1692;18100;1039;1544;14900
200;199;19900;45500;10204;10198;22400;1372;2478;27300;745;1354;15600;1063;1472;16100
200;199;19900;44800;9629;9626;21600;1361;2452;29600;915;1471;15300;1199;1561;16500
200;199;19900;45900;9910;9905;23200;1366;2461;29100;1200;1778;16600;1146;1538;17700
200;199;19900;46700;9679;9674;21500;1369;2475;28900;778;1518;18600;915;1538;14300
200;199;19900;46300;9850;9849;21900;1362;2451;28000;989;1697;15800;1163;1667;14400
200;199;19900;45200;9975;9969;23000;1355;2454;28300;961;1646;15800;1013;1503;14200
200;199;19900;44500;10196;10191;23400;1366;2461;29200;961;1491;16400;1109;1506;15400
200;199;19900;44100;9700;9692;19300;1374;2463;29200;1045;1653;18100;1205;1552;14700
200;199;19900;46100;9252;9250;18800;1354;2445;28700;952;1499;16200;1171;1582;25800
200;199;19900;45300;10132;10130;16400;1370;2462;25600;979;1745;15100;1258;1786;14400
200;199;19900;45000;10577;10575;23300;1353;2451;29700;963;1717;14800;1060;1420;19500
200;199;19900;45900;11015;11013;26600;1347;2424;29300;959;1591;19000;1053;1526;16900
200;199;19900;45800;10054;10048;25000;1364;2458;32100;832;1521;15200;1272;1596;17700
200;199;19900;44900;9315;9312;17400;1385;2489;29700;1061;1509;16300;1172;1561;16000
200;199;19900;41500;10495;10495;13300;1361;2455;19900;1046;1726;13000;1069;1632;10500
200;199;19900;45500;10181;10177;16900;1367;2461;27000;766;1528;15000;965;1417;14900
200;199;19900;47100;10399;10395;22000;1355;2443;28100;824;1704;15400;1018;1460;15400
200;199;19900;47900;9588;9585;19700;1366;2456;27100;1039;1785;16500;1307;1746;14500
200;199;19900;41400;9462;9457;12300;1368;2458;19100;1158;1710;12200;1128;1564;10400
200;199;19900;40900;9371;9367;12500;1375;2475;19900;812;1633;15800;1010;1527;15300
200;199;19900;41200;9830;9826;12800;1360;2455;19400;939;1644;11200;1060;1443;11500
200;199;19900;41400;10667;10656;13500;1353;2450;25100;851;1426;10700;1151;1477;11400
200;199;19900;48400;9603;9598;18000;1373;2466;25600;945;1768;18500;1068;1470;15700
200;199;19900;45700;10574;10571;24200;1356;2458;28500;923;1597;16000;1070;1550;18700
