n;sel_swap;sel_comp;sel_time;ins_swap;ins_comp;ins_time;heap_swap;heap_comp;heap_time;quick_swap;quick_comp;quick_timemq_swap;mq_comp;mq_time
100;99;4950;647700;2657;2752;156700;584;1026;109300;342;609;49800;421;664;58600
100;99;4950;151100;2487;2584;125000;588;1029;128700;321;576;32800;404;635;39100
100;99;4950;183400;2377;2473;138700;588;1029;52000;406;588;45900;417;652;58800
100;99;4950;171700;2711;2800;152900;570;1010;39800;486;738;66000;430;660;60000
100;99;4950;183100;2747;2841;155100;574;1019;41800;331;584;69600;406;618;68400
100;99;4950;222100;2220;2314;163800;593;1026;64300;364;608;82100;413;639;91300
100;99;4950;259700;2439;2533;186300;580;1029;47300;373;636;34400;433;660;50200
100;99;4950;223100;2374;2470;179700;585;1034;33000;422;594;15800;406;610;48900
100;99;4950;227300;2426;2519;181700;585;1026;59100;430;608;16200;392;611;54200
100;99;4950;218600;2310;2405;222200;595;1041;27900;428;677;15800;402;667;46400
200;199;19900;814300;10075;10271;874800;1354;2448;70000;931;1534;37800;934;1546;109000
200;199;19900;288900;10164;10354;177100;1361;2459;65800;1303;1699;34700;1144;1619;58800
200;199;19900;271800;9469;9663;148800;1348;2446;71800;1151;1801;37900;944;1471;36700
200;199;19900;161800;10376;10569;88400;1357;2453;40900;764;1646;21900;793;1470;22300
200;199;19900;148900;10241;10437;86700;1352;2443;38500;752;1704;22300;843;1555;23100
200;199;19900;148600;9222;9417;78400;1375;2475;40600;719;1495;21300;798;1539;20800
200;199;19900;145200;10702;10893;99900;1349;2451;39400;917;1592;26400;944;1605;47100
200;199;19900;270300;9281;9476;154600;1378;2456;49500;810;1591;45900;923;1552;44300
200;199;19900;269100;10753;10948;187300;1366;2455;43700;1079;1931;42600;901;1516;38600
200;199;19900;293900;9505;9698;149600;1376;2459;41800;764;1464;33300;1047;1580;35700
300;299;44850;358700;22662;22956;360400;2217;4028;62500;1535;2357;59100;1617;2453;58600
300;299;44850;281100;22674;22969;333000;2211;4032;71600;1317;2769;61000;1448;2302;49300
300;299;44850;287600;21653;21946;352600;2198;4006;61000;1706;2676;52300;1694;2580;58700
300;299;44850;283500;21291;21583;332900;2212;4028;66400;1649;2543;57100;1345;2550;58400
300;299;44850;284700;23201;23498;198100;2222;4041;59100;1331;2576;39500;1464;2623;47600
300;299;44850;100100;21430;21725;904400;2215;4027;70000;1633;2422;24900;1598;2402;71900
300;299;44850;100900;21468;21762;335500;2223;4049;62300;1497;2340;26200;1499;2389;32000
300;299;44850;101300;23117;23411;349000;2224;4043;59600;1342;2399;25000;1543;2503;37500
300;299;44850;101200;23403;23699;198200;2204;4019;59700;1725;2681;25200;1548;2500;31600
300;299;44850;100700;21963;22260;261400;2224;4048;61800;1339;2451;24400;1328;2423;36700
400;399;79800;176400;37096;37490;309800;3145;5727;90300;1974;3438;31600;2073;3515;44700
400;399;79800;176000;39603;39996;335700;3138;5704;82300;2381;3768;39400;2061;3493;46400
400;399;79800;174000;40377;40769;303800;3124;5721;80300;1970;3364;31100;1990;3427;43300
400;399;79800;177200;39216;39612;291300;3143;5720;58100;2229;3530;34100;1976;3369;40000
400;399;79800;173900;40367;40764;300800;3142;5724;89100;2149;3579;32800;2263;3713;42400
400;399;79800;176500;40638;41031;406500;3099;5697;116600;2135;3783;34000;2252;3488;46300
400;399;79800;168100;37371;37765;195200;3162;5730;68800;1794;3472;31300;1949;3495;41100
400;399;79800;168200;39396;39792;194400;3105;5700;78000;2320;3699;33500;1873;3516;41000
400;399;79800;170800;39386;39780;87800;3107;5695;90400;2321;3698;33600;1856;3459;51000
400;399;79800;176000;39486;39879;94400;3127;5712;86000;1994;3344;35500;2004;3525;33300
500;499;124750;259700;65695;66189;105400;4044;7422;107700;3100;5246;47200;2562;4620;43100
500;499;124750;271800;61094;61590;101500;4025;7394;87400;3138;4981;43600;2615;4944;38900
500;499;124750;265000;61277;61772;99400;4038;7421;81700;2568;4581;39600;2593;4721;39400
500;499;124750;277500;63530;64025;132400;4027;7421;104000;2796;5436;45200;2610;4580;42300
500;499;124750;276200;61663;62157;101800;4044;7418;87900;3059;4672;37900;2644;4452;42900
500;499;124750;265100;64483;64977;106600;4034;7416;89100;3209;5472;40700;3064;4734;38900
500;499;124750;259900;63581;64071;103700;4052;7424;84400;3085;5176;40100;2394;4570;42600
500;499;124750;270400;62674;63169;91500;4053;7434;86600;2423;4338;38700;2568;4431;37800
500;499;124750;259700;62796;63289;101100;4019;7411;85600;3205;5335;44600;2531;4462;44700
500;499;124750;262500;61185;61680;100200;4038;7417;82100;2822;4822;37800;2366;4626;42300
600;599;179700;372600;88210;88798;138400;5025;9251;149900;3255;6555;43500;3213;5742;47600
600;599;179700;453000;92551;93141;200400;5006;9240;135200;3279;5713;52200;3239;5406;54600
600;599;179700;390600;86174;86764;138700;5041;9284;104500;3182;5598;47600;3460;5631;46100
600;599;179700;417000;92317;92910;212500;4970;9204;130800;3514;5938;50300;3449;5566;51600
600;599;179700;391600;90527;91121;221400;4988;9200;138100;3249;6231;66300;3162;5639;63500
600;599;179700;404000;89189;89779;176000;5046;9275;140700;4171;6942;68100;4047;5815;52200
600;599;179700;384400;95847;96441;214500;4984;9224;139100;3173;5888;45700;3565;5694;201600
600;599;179700;401900;93123;93716;222400;5000;9235;124400;2798;5602;43900;3502;5682;50300
600;599;179700;394100;89790;90384;217700;5025;9234;132700;3785;6168;48100;3797;5777;54600
600;599;179700;398200;84783;85376;196600;5056;9291;146100;3273;5910;44600;3575;5709;73000
700;699;244650;508100;126393;127089;197300;5978;11090;123300;4671;7854;50000;4057;6696;54500
700;699;244650;507600;122647;123342;188900;6040;11156;122700;4161;7011;49800;3888;6784;51500
700;699;244650;526300;121857;122546;185300;6034;11106;120300;3820;6843;50500;3994;6731;56500
