n;sel_swap;sel_comp;sel_time;ins_swap;ins_comp;ins_time;heap_swap;heap_comp;heap_time;quick_swap;quick_comp;quick_time;mq_swap;mq_comp;mq_time
100;297;4950;542400;2566;2564;142500;1740;1026;109500;1062;559;75800;991;665;59100
100;297;4950;136600;2532;2528;116000;1752;1034;30200;1287;657;34100;1204;731;41200
100;297;4950;186700;2694;2689;125500;1722;1024;18900;1125;594;39900;705;597;36200
100;297;4950;138100;2726;2725;123500;1764;1033;19900;1254;605;31600;1071;792;44200
100;297;4950;139200;2719;2715;122700;1755;1035;30200;1275;669;23900;1025;676;33100
100;297;4950;139800;2155;2152;98900;1785;1041;19300;891;658;9700;1008;716;31700
100;297;4950;141500;2562;2557;116400;1758;1041;19400;1275;690;10500;956;672;31900
100;297;4950;139000;2357;2352;106800;1749;1019;24700;1026;619;14000;772;578;28600
100;297;4950;136000;2730;2723;123800;1734;1036;18100;1044;699;9600;727;657;40900
100;297;4950;138600;2773;2765;126600;1755;1024;19200;915;713;10300;795;711;31000
200;597;19900;710600;10267;10266;661700;4041;2439;47300;2193;1478;20700;1632;1532;46300
200;597;19900;173700;10790;10789;99500;4128;2463;41800;2892;1610;22300;1856;1499;38600
200;597;19900;152500;9132;9127;85800;4182;2479;76900;2349;1528;36400;2084;1507;37700
200;597;19900;160000;10608;10602;89100;4044;2433;39800;2886;1495;23600;2394;1645;23400
200;597;19900;145600;10981;10971;156700;4053;2437;69700;2901;1616;39000;2697;1624;41200
200;597;19900;274100;10205;10201;163600;4047;2423;76500;2496;1450;34400;1787;1453;38800
200;597;19900;155900;10120;10118;96800;4134;2467;40400;2646;1377;24300;1944;1457;22600
200;597;19900;246900;10388;10384;154000;4128;2470;75200;2637;1517;37900;1908;1561;37500
200;597;19900;289600;10180;10175;147900;4074;2464;71500;2931;1717;39100;1913;1515;42200
200;597;19900;190000;10025;10018;167400;4095;2467;72200;2220;1421;38000;1864;1451;36100
300;897;44850;280800;22350;22343;183300;6600;4007;63700;5850;2930;39100;3153;2430;44300
300;897;44850;191400;22487;22478;183800;6639;4025;64600;3975;3018;37100;4404;2749;35900
300;897;44850;182700;22429;22424;184700;6621;4016;63400;4497;2476;33900;3241;2341;33600
300;897;44850;182600;23414;23407;342800;6612;4015;98600;4365;2369;34300;3155;2566;36800
300;897;44850;279500;20943;20939;307200;6639;4044;123100;5454;2629;41300;3026;2575;42700
300;897;44850;277200;22539;22534;341300;6639;4033;114600;4563;2383;23100;3638;2479;35600
300;897;44850;274600;22560;22556;335900;6666;4025;115400;3780;2624;22600;3773;2690;33700
300;897;44850;184200;23138;23134;188500;6630;4024;64000;4233;2431;15800;3111;2373;22100
300;897;44850;186900;22895;22893;187900;6663;4033;64500;4680;2327;17000;3430;2354;21400
300;897;44850;237500;23089;23086;195900;6657;4039;63800;3408;2317;15300;3459;2656;22700
400;1197;79800;167200;41908;41905;176300;9342;5701;63800;6585;3708;22500;4922;3525;42900
400;1197;79800;182700;40860;40858;328900;9396;5704;83400;6006;3472;28000;4540;3524;49000
400;1197;79800;195100;38297;38292;397600;9387;5717;118400;5061;3288;27500;4017;3641;39200
400;1197;79800;181000;43109;43102;474000;9363;5707;118800;7161;4003;33500;4882;3481;39900
400;1197;79800;186700;39614;39608;324000;9330;5711;56600;7041;3817;36300;5010;3396;29600
400;1197;79800;169600;42526;42521;62900;9378;5730;87200;5814;3560;21300;4175;3595;34400
400;1197;79800;231100;41663;41655;95600;9387;5722;101000;5826;4030;34200;4339;3501;67000
400;1197;79800;185000;39566;39561;84600;9396;5712;126900;5622;3787;27600;4739;3416;29800
400;1197;79800;185600;40971;40968;98500;9303;5673;138700;5607;3574;31600;4421;3552;30300
400;1197;79800;185300;40303;40299;58800;9279;5689;59100;8964;4369;26200;5090;3619;22600
