k;i;maxMatch;time
3;1;4;24300
3;1;4;41700
3;1;6;35500
3;1;4;42900
3;1;4;46300
3;1;6;22200
3;1;4;21900
3;1;4;22800
3;1;4;23400
3;1;5;24300
3;1;2;24900
3;1;5;23500
3;1;5;23800
3;1;5;22000
3;1;3;24100
3;1;5;22000
3;1;3;25900
3;1;4;22600
3;1;4;22500
3;1;4;22400
3;1;5;21000
3;1;4;13000
3;1;6;11600
3;1;5;11300
3;1;3;20200
3;1;5;14400
3;1;3;12900
3;1;5;24300
3;1;5;8200
3;1;3;8200
3;1;4;8000
3;1;4;8200
3;1;6;7900
3;1;5;7700
3;1;6;7800
3;1;4;7900
3;1;6;8000
3;1;4;9000
3;1;3;10100
3;1;4;7800
3;1;3;8300
3;1;3;8100
3;1;5;8200
3;1;4;8000
3;1;2;8500
3;1;3;10900
3;1;5;8000
3;1;3;8200
3;1;5;8100
3;1;5;9600
3;1;3;8200
3;1;4;10000
3;1;5;8300
3;1;5;8000
3;1;4;8100
3;1;4;7900
3;1;4;7400
3;1;3;7700
3;1;5;9900
3;1;4;7900
3;1;4;7800
3;1;5;7900
3;1;5;7800
3;1;4;7800
3;1;4;5900
3;1;4;5300
3;1;4;7700
3;1;4;5300
3;1;4;5100
3;1;5;5200
3;1;5;6200
3;1;4;6500
3;1;4;6200
3;1;5;4900
3;1;6;5200
3;1;4;6600
3;1;5;7400
3;1;4;5400
3;1;4;5000
3;1;4;7700
3;1;4;11800
3;1;3;5200
3;1;4;5300
3;1;4;5700
3;1;5;5700
3;1;5;7100
3;1;4;4800
3;1;5;4400
3;1;5;5300
3;1;5;8500
3;1;4;5900
3;1;4;6300
3;1;5;5800
3;1;4;5200
3;1;6;5100
3;1;4;5600
3;1;4;5200
3;1;4;5500
3;1;5;5100
3;1;4;5600
3;1;6;7100
3;1;4;4800
3;1;3;10900
3;1;5;5100
3;1;5;9400
3;1;5;2100
3;1;4;1800
3;1;5;1800
3;1;6;4300
3;1;5;2300
3;1;4;2100
3;1;4;2200
3;1;6;2000
3;1;4;2100
3;1;6;1700
3;1;4;2000
3;1;4;2200
3;1;4;2000
3;1;3;1900
3;1;3;2300
3;1;2;4300
3;1;6;4900
3;1;4;2500
3;1;5;2700
3;1;3;2400
3;1;5;2300
3;1;5;4800
3;1;3;3000
3;1;5;4900
3;1;3;2700
3;1;5;2000
3;1;5;2000
3;1;5;2100
3;1;5;1800
3;1;5;4500
3;1;5;1600
3;1;6;1500
3;1;4;2200
3;1;4;2900
3;1;3;4500
3;1;5;2200
3;1;5;2700
3;1;4;2200
3;1;5;2300
3;1;5;1800
3;1;4;2000
3;1;3;2100
3;1;4;2200
3;1;4;1800
3;1;5;1800
3;1;4;2000
3;1;4;2000
3;1;4;1800
3;1;4;1900
3;1;6;1800
3;1;4;2000
3;1;4;2100
3;1;3;2200
3;1;4;1700
3;1;4;2000
3;1;4;1900
3;1;4;2400
3;1;3;1900
3;1;6;3800
3;1;4;1900
3;1;4;1700
3;1;5;2000
3;1;4;1800
3;1;3;2200
3;1;5;1800
3;1;5;2800
