k;flow;noOfPaths;executionTime
1;1;1;3
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;1
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;1
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;5
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
