k;flow;noOfPaths;executionTime
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;2;1;0
1;1;1;0
1;2;1;0
1;1;1;0
1;1;1;0
2;2;2;0
2;3;2;0
2;5;2;0
2;2;2;0
2;3;2;0
2;5;2;0
2;4;2;0
2;5;2;0
2;3;2;0
2;4;2;0
2;2;2;0
2;3;2;0
2;4;2;0
2;6;2;0
2;5;2;0
2;3;2;0
2;2;2;0
2;2;2;0
2;4;2;0
2;5;2;0
2;2;2;0
2;2;2;0
2;6;2;0
2;4;2;0
2;5;2;0
2;5;2;0
2;4;2;0
2;3;2;0
2;3;2;0
2;6;2;0
2;4;2;0
2;4;2;0
2;3;2;0
2;2;2;0
2;2;2;0
2;2;2;0
2;6;2;0
2;3;2;0
2;3;2;0
2;3;2;0
2;2;2;0
2;3;2;0
2;3;2;0
2;3;2;0
2;5;2;0
2;3;2;0
2;5;2;0
2;3;2;0
2;4;2;0
2;5;2;0
2;5;2;0
2;5;2;0
2;3;2;0
2;2;2;0
2;4;2;0
2;3;2;0
2;3;2;0
2;2;2;0
2;4;2;0
2;3;2;0
2;3;2;0
2;6;2;0
2;5;2;0
2;3;2;0
2;4;2;0
2;5;2;0
2;2;2;0
2;3;2;0
2;5;2;0
2;7;2;0
2;4;2;0
2;4;2;0
2;2;2;0
2;7;2;0
2;4;2;0
2;3;2;0
2;5;2;0
2;7;2;0
2;2;2;0
2;6;2;0
2;3;2;0
2;6;2;0
2;4;2;0
2;4;2;0
2;4;2;0
2;4;2;0
2;2;2;0
2;3;2;0
2;2;2;0
2;4;2;0
2;4;2;0
2;4;2;0
2;3;2;0
2;2;2;0
2;2;2;0
2;5;2;0
2;3;2;0
2;3;2;0
2;2;2;0
2;5;2;0
3;8;5;0
3;5;5;0
3;7;5;0
3;11;5;0
3;5;5;0
3;9;6;0
3;8;6;0
3;13;6;0
3;13;6;0
3;12;5;0
3;7;6;0
3;10;5;0
3;3;3;0
3;9;5;0
3;10;5;0
3;7;4;0
3;12;6;0
3;8;4;0
3;12;6;0
3;12;5;0
3;6;4;0
3;10;6;0
3;11;6;0
3;8;5;0
3;8;5;0
3;9;5;0
3;10;4;0
3;13;6;0
3;11;5;0
3;9;4;0
3;9;6;0
3;7;5;0
3;10;6;0
3;9;5;0
3;10;5;0
3;9;6;0
3;14;6;0
3;5;4;0
3;7;5;0
3;9;4;0
3;10;4;0
3;8;5;0
3;4;3;0
3;7;5;0
3;7;4;0
3;13;6;0
3;10;5;0
3;12;6;0
3;6;3;0
3;5;4;0
3;6;5;0
3;7;4;0
3;12;6;0
3;12;6;0
3;14;6;0
3;6;4;0
3;10;5;0
3;7;5;0
3;8;4;0
3;5;4;0
3;8;4;0
3;10;5;0
3;8;5;0
3;11;6;0
3;11;6;0
3;8;6;0
3;7;3;0
3;10;5;0
3;7;4;0
3;7;4;0
3;13;6;0
3;8;4;0
3;8;4;0
3;11;6;0
3;12;5;0
3;6;4;0
3;14;7;0
3;9;5;0
3;8;4;0
3;9;5;0
3;8;5;0
3;6;4;0
3;11;5;0
3;12;6;0
3;8;4;0
3;7;5;0
3;15;6;0
3;8;4;0
3;9;4;0
3;9;5;0
3;10;5;0
3;8;4;0
3;10;4;0
3;8;4;0
3;6;5;0
3;11;6;0
3;11;5;0
3;10;6;0
3;8;4;0
3;14;5;0
4;25;12;0
4;30;11;0
4;31;13;0
4;19;9;0
4;23;8;0
4;30;11;0
4;34;14;0
4;24;10;0
4;24;10;0
4;22;13;0
4;32;11;0
4;26;13;0
4;25;13;0
4;29;11;0
4;25;11;0
4;22;13;0
4;10;7;0
4;37;13;0
4;17;9;0
4;20;9;0
4;31;13;0
4;22;8;0
4;27;14;0
4;18;9;0
4;29;11;0
4;22;12;0
4;30;13;16
4;20;9;0
4;39;15;0
4;24;11;0
4;27;13;0
4;19;11;0
4;32;11;0
4;33;12;0
4;27;12;0
4;30;12;0
4;30;14;0
4;30;13;15
4;16;9;0
4;34;13;0
4;22;13;0
4;20;9;0
4;34;15;0
4;20;9;0
4;35;14;0
4;25;13;0
4;25;14;0
4;25;14;0
4;16;6;16
4;20;10;0
4;26;13;0
4;29;10;0
4;23;14;0
4;17;11;0
4;21;9;0
4;22;8;0
4;24;11;0
4;30;13;0
4;24;12;0
4;26;10;0
4;39;15;0
4;28;12;0
4;22;10;0
4;32;12;0
4;34;12;0
4;29;11;0
4;21;10;0
4;15;6;0
4;20;12;0
4;18;10;0
4;27;14;0
4;21;9;0
4;24;9;0
4;20;8;0
4;30;13;0
4;30;11;0
4;26;11;0
4;25;13;0
4;24;10;0
4;36;14;0
4;26;11;0
4;27;14;0
4;27;14;0
4;26;11;0
4;22;10;0
4;21;11;0
4;13;7;0
4;28;15;0
4;21;9;0
4;22;12;0
4;22;11;0
4;35;11;0
4;23;8;0
4;16;8;0
4;24;12;0
4;30;14;0
4;24;10;0
4;44;16;0
4;27;14;0
4;19;8;0
5;75;31;0
5;66;28;0
5;70;26;0
5;72;26;0
5;66;29;0
5;58;26;0
5;62;22;0
5;52;22;0
5;75;28;0
5;77;27;0
5;73;26;0
5;80;28;0
5;60;22;0
5;56;23;0
5;66;21;0
5;70;27;0
5;49;19;0
5;77;36;0
5;67;25;0
5;89;32;0
5;68;26;0
5;77;33;0
5;63;22;0
5;65;26;0
5;68;21;0
5;80;29;0
5;77;24;0
5;62;22;0
5;60;20;0
5;69;30;0
5;72;27;0
5;96;34;0
5;31;13;0
5;65;29;15
5;79;32;0
5;48;21;0
5;29;14;0
5;76;28;0
5;70;27;0
5;62;21;0
5;53;21;0
5;66;25;0
5;56;20;0
5;70;26;0
5;59;22;0
5;41;16;0
5;64;31;0
5;67;29;0
5;98;35;0
5;64;25;0
5;73;28;0
5;81;29;0
5;45;18;0
5;55;17;0
5;84;30;0
5;87;31;0
5;91;38;0
5;75;33;0
5;52;22;0
5;74;28;0
5;74;29;0
5;56;19;0
5;93;35;0
5;52;18;0
5;64;22;0
5;63;27;0
5;76;31;0
5;77;32;0
5;46;18;0
5;65;27;0
5;50;23;0
5;55;23;0
5;94;34;0
5;29;14;0
5;56;25;0
5;57;22;0
5;70;34;0
5;95;36;0
5;76;24;0
5;87;30;0
5;63;28;0
5;75;25;0
5;68;27;0
5;91;34;0
5;70;26;0
5;47;19;0
5;83;32;0
5;66;26;0
5;67;27;0
5;66;24;0
5;68;23;0
5;95;36;0
5;80;26;0
5;84;30;0
5;80;30;0
5;62;23;0
5;63;28;0
5;62;27;0
5;80;33;0
5;76;26;0
6;176;55;0
6;199;65;0
6;252;70;0
6;180;49;0
6;138;46;0
6;143;42;0
6;187;51;0
6;94;29;0
6;156;41;0
6;154;46;0
6;139;35;0
6;177;47;0
6;196;56;0
6;114;34;0
6;93;30;0
6;222;60;0
6;158;45;0
6;159;42;0
6;216;59;0
6;157;46;0
6;187;48;0
6;120;33;0
6;181;55;0
